A00-01-01;Colera
F62-05-07;Modificazione duratura della personalita'' non attribuibile a danno o malattia cerebrale
F63-05-07;Disturbi delle abitudini e degli impulsi
F64-05-07;Disturbi dell’identita'' sessuale
F65-05-07;Disturbo della preferenza sessuale
F66-05-07;Problemi psicologici e comportamentali associati con lo sviluppo e l’orientamento sessuale
F68-05-07;Altri disturbi della personalita'' e del comportamento nell’adulto
F69-05-07;Disturbo non specificato della personalita'' e del comportamento nell’adulto
F70-05-08;Ritardo mentale lieve
F71-05-08;Ritardo mentale di media gravita''
F72-05-08;Ritardo mentale grave
F73-05-08;Ritardo mentale profondo
F78-05-08;Ritardo mentale di altro tipo
F79-05-08;Ritardo mentale non specificato
F80-05-09;Disturbi evolutivi specifici dell’eloquio e del linguaggio
F81-05-09;Disturbi evolutivi specifici delle abilita'' scolastiche
F82-05-09;Disturbo evolutivo specifico della funzione motoria
F83-05-09;Disturbo evolutivo specifico misto
F84-05-09;Disturbi evolutivi globali
F88-05-09;Disturbo dello sviluppo psicologico di altro tipo
F89-05-09;Disturbo dello sviluppo psicologico non specificato
F90-05-10;Disturbi ipercinetici
F91-05-10;Disturbi della condotta
F92-05-10;Disturbi misti della condotta e della sfera emozionale
F93-05-10;Disturbi della sfera emozionale con esordio caratteristico nell’infanzia
F94-05-10;Disturbo del funzionamento sociale con esordio specifico nell’infanzia e nell’adolescenza
F95-05-10;Disturbi a tipo tic
F98-05-10;Altri disturbi comportamentali e della sfera emozionale con esordio abituale nell’infanzia e nell’adolescenza
F99-05-11;Disturbo mentale S A I 
G00-06-01;Meningite batterica non classificata altrove
G01-06-01;Meningite in malattie batteriche classificate altrove
G02-06-01;Meningite in altre malattie infettive e parassitarie classificate altrove
G03-06-01;Meningite da altre e non precisate cause
G04-06-01;Encefalite, mielite ed encefalomielite
G05-06-01;Encefalite, mielite ed encefalomielite in malattie classificate altrove
G06-06-01;Ascessi e granulomi intracranici ed intrarachidiani
G07-06-01;Ascessi e granulomi intracranici ed intrarachidiani in malattie classificate altrove
G08-06-01;Flebite e tromboflebite intracraniche ed intrarachidiane
G09-06-01;Sequele di malattie infiammatorie del sistema nervoso centrale
G10-06-02;Malattia di Huntington
G11-06-02;Atassia ereditaria
G12-06-02;Atrofia muscolare spinale e sindromi correlate
G13-06-02;Atrofie sistemiche interessanti principalmente il sistema nervoso centrale in malattie classificate altrove
G20-06-03;Morbo di Parkinson
G21-06-03;Parkinsonismo secondario
G22-06-03;Parkinsonismo in malattie classificate altrove
G23-06-03;Altre malattie degenerative dei gangli della base
G24-06-03;Distonia
G25-06-03;Altri disturbi extrapiramidali e del movimento
G26-06-03;Disturbi extrapiramidali e del movimento in malattie classificate altrove
G30-06-04;Malattia di Alzheimer
G31-06-04;Altre malattie degenerative del sistema nervoso non classificate altrove
G32-06-04;Altre malattie degenerative del sistema nervoso in malattie classificate altrove
G35-06-05;Sclerosi multipla
G36-06-05;Altra demielinizzazione disseminata acuta
G37-06-05;Altre malattie demielinizzanti del sistema nervoso centrale
G40-06-06;Epilessia
G41-06-06;Stato di male epilettico
G43-06-06;Emicrania
G44-06-06;Altre sindromi cefalalgiche
G45-06-06;Attacchi cerebrovascolari ischemici transitori e sindromi correlate
G46-06-06;Sindromi vascolari cerebrali in malattie cerebrovascolari (I60 I67)
G47-06-06;Disturbi del sonno
G50-06-07;Disturbi del nervo trigemino
G51-06-07;Disturbi del nervo facciale
G52-06-07;Disturbi di altri nervi cranici
G53-06-07;Disturbi di nervi cranici in malattie classificate altrove
G54-06-07;Disturbi dei plessi e delle radici nervose
G55-06-07;Compressione delle radici e dei plessi nervosi in malattie classificate altrove
G56-06-07;Mononeuropatie dell''arto superiore
G57-06-07;Mononeuropatie dell''arto inferiore
G58-06-07;Altre mononeuropatie
G59-06-07;Mononeuropatia in malattie classificate altrove
G60-06-08;Neuropatie idiopatiche ed ereditarie
G61-06-08;Polineuropatia infiammatoria
G62-06-08;Altre polineuropatie
G63-06-08;Polineuropatia in malattie classificate altrove
G64-06-08;Altri disturbi del sistema nervoso periferico
G70-06-09;Miastenia grave ed altri disturbi neuromuscolari
G71-06-09;Disturbi primitivi dei muscoli
G72-06-09;Altre miopatie
G73-06-09;Disturbi della giunzione neuromuscolare e dei muscoli in malattie classificate altrove
G80-06-10;Paralisi cerebrale infantile
G81-06-10;Emiplegia
G82-06-10;Paraplegia e tetraplegia
G83-06-10;Altre sindromi paralitiche
G90-06-11;Disturbi del sistema nervoso autonomo
G91-06-11;Idrocefalo
G92-06-11;Encefalopatia tossica
G93-06-11;Altri disturbi dell’encefalo
G94-06-11;Altri disturbi dell’encefalo in malattie classificate altrove
G95-06-11;Altre malattie del midollo spinale
G96-06-11;Altri disturbi del sistema nervoso centrale
G97-06-11;Disturbi iatrogeni del sistema nervoso non classificati altrove
G98-06-11;Altri disturbi del sistema nervoso non classificati altrove
G99-06-11;Altri disturbi del sistema nervoso in malattie classificate altrove
H00-07-01;Orzaiolo e calazio
H01-07-01;Altra infiammazione della palpebra
H02-07-01;Altri disturbi delle palpebre
H03-07-01;Disturbi delle palpebre in malattie classificate altrove
H04-07-01;Disturbi dell''apparato lacrimale
H05-07-01;Disturbi dell''orbita
H06-07-01;Disturbi dell''apparato lacrimale e dell''orbita in malattie classificate altrove
H10-07-02;Congiuntivite
H11-07-02;Altri disturbi della congiuntiva
H13-07-02;Disturbi della congiuntiva in malattie classificate altrove
H15-07-03;Disturbi della sclera
H16-07-03;Cheratite
